Serial Number,Excel Timestamp,Station,Wafer ID,PCBA ID,ChassisSlot,CNR,CSO-,CTB,CSO+,LIP Peak Power,Wavelength,SMSR,SMSR Iop,Flat,Chassis,Slot,Slot 2dig
BFHC185,9/20/17 10:07 AM,322,21217350,H17031800109,425,52.75007034,61.82583867,66.58627577,50.21364805,,1535.817,35.11,53.58,0.5961,4,25,25
BFI0846,9/20/17 9:58 AM,322,21386350,H17031800184,424,52.25785847,59.14888265,63.38811755,46.69102981,,1554.137,35.01,55.2,0.63516,4,24,24
BFHA196,9/20/17 9:53 AM,322,21442350,DQ0G0878,423,52.08007034,57.72330673,68,42.6790206,,1561.42,33.26,46.11,0.53554,4,23,23
BFHC101,9/20/17 9:48 AM,322,21140350,DQ0H1186,422,52.23259433,55.82111875,66.04283888,45.18487743,,1530.335,35.17,53.29,0.55703,4,22,22
BFI1011,9/20/17 9:44 AM,322,21386350,DQ0H0542,421,52.78270681,56.9995247,67.48088539,42.34716378,,1554.13,36.53,56.04,0.55312,4,21,21
BFI1355,9/20/17 9:38 AM,322,21429350,DQ0H2065,332,,,,,,1554.135,32.78,53,0.6625,3,32,32
BFHC196,9/20/17 9:33 AM,322,21272350,DQ0H1576,331,52.59548578,57.70657225,71.0206244,43.50973354,,1539.762,33.59,54.65,0.65665,3,31,31
BFI1370,9/20/17 9:28 AM,322,L20558450,36,330,51.73583154,59.54443061,67.82955223,45.34665777,,1536.611,33.61,50.2,0.62929,3,30,30
BFHA261,9/20/17 9:23 AM,322,21560350,8,329,52.60597234,61.47688121,62.93788901,48.02547166,,1558.979,36.76,54.24,0.42032,3,29,29
BFI0882,9/20/17 9:20 AM,322,21386350,KKABOBEU,328,,,,,,,,,0.49258,3,28,28
BFI0673,9/20/17 9:17 AM,322,21386350,H17031800122,327,,,,,,,,,0.70156,3,27,27
BFI0907,9/20/17 9:12 AM,322,21386350,DQ0H0771,326,,,,,,1554.136,27.49,43.01,21.90077,3,26,26
BFI1007,9/20/17 9:08 AM,322,21386350,DQ0G1403,325,51.55892478,59.40541262,67.67,44.51484316,,1554.135,34.28,52.27,0.48086,3,25,25
BFHA255,9/20/17 9:02 AM,322,21560350,BFHA255,324,52.25007034,59.14888265,68,44.18225736,,1558.978,35.41,54.36,0.36368,3,24,24
BFI0675,9/20/17 8:57 AM,322,21386350,24,323,52.60597234,61.09240943,61.25138922,48.69748894,,1554.129,33.43,55.98,0.50625,3,23,23
BFH6732,9/20/17 8:52 AM,322,20584450,H17031800126,322,52.43597234,59.85944514,63.74940367,49.70602336,,1535.815,30.55,51.46,0.26992,3,22,22
BFI1402,9/20/17 8:47 AM,322,21250350,H17031800103,321,52.43597234,61.12757491,64.07940367,47.8544911,,1536.604,41.69,53.44,0.42422,3,21,21
BFI0900,9/20/17 8:42 AM,322,21386350,H17031800124,316,52.08007034,58.44183487,67.23181461,48.35966653,,1554.131,26.26,49.44,0.66641,3,16,16
BFH5779,9/20/17 8:37 AM,322,21252350,DQ0H1573,315,52.59548578,57.19067025,69.32102143,42.83935949,,1559.784,33.86,51.82,0.53945,3,15,15
BFH5806,9/20/17 8:33 AM,322,21226350,H17031800057,314,52.08007034,61.18685762,65.05284268,48.02748894,,1559.791,35.67,52.41,0.5414,3,14,14
BFH8301,9/20/17 8:28 AM,322,21019350,H17031800025,313,52.43391926,57.90246398,70.53387308,43.50973354,,1558.976,31.69,51.47,0.56485,3,13,13
BFI1070,9/20/17 8:23 AM,322,21386350,H17031800113,312,52.42548578,61.14688121,64.96652895,47.8644911,,1554.129,37.27,54.6,0.43203,3,12,12
BFG2889,9/20/17 8:18 AM,322,21059350,H17031800148,311,50.70461963,62.01037287,67.59591494,59.17508354,,1537.402,31.99,49.57,0.66835,3,11,11
BFH7061,9/20/17 8:13 AM,322,21255350,DQ0G0910,310,52.42785847,58.27183487,68,43.17009925,,1559.788,29.09,48.19,0.54336,3,10,10
BFI0917,9/20/17 8:10 AM,322,21386350,H17031800036,309,,,,,,,,,0.34609,3,9,09
BFHA952,9/20/17 8:05 AM,322,21014350,H17031800190,308,52.24739146,61.68685762,65.1799599,48.19858993,,1531.127,29.9,47.55,0.30507,3,8,08
BFHC120,9/20/17 8:01 AM,322,21026350,H17031800100,307,52.25007034,62.16135149,66.31482598,49.87196438,,1530.338,34.17,50.91,0.42617,3,7,07
BFHC202,9/20/17 7:56 AM,322,21272350,28,306,51.91007034,59.88913078,67.40445988,49.53888005,,1539.766,29.87,52.63,0.58242,3,6,06
BFH5785,9/20/17 7:51 AM,322,21252350,BFH5785,305,52.25785847,60.99583867,63.78217959,48.70209134,,1559.789,35.41,52.84,0.33437,3,5,05
BFHA244,9/20/17 5:37 AM,322,21560350,H17031800165,409,51.72892478,59.39006933,67.67,44.34430538,,1558.98,35.34,54.88,0.47305,4,9,09
BFHB800,9/20/17 5:27 AM,322,21463350,38,407,52.42007034,57.92135734,68.5,44.18225736,,1542.135,31.04,52.52,0.66836,4,7,07
BFI0534,9/20/17 5:22 AM,322,21599350,2,405,52.25007034,58.25135734,65.70070802,49.03746764,,1531.906,26.55,51.05,0.51992,4,5,05
BFHB111,9/20/17 5:18 AM,322,21273350,DQ0H1692,332,,,,,,1539.777,32.24,49.31,0.79727,3,32,32
BFI0902,9/20/17 5:13 AM,322,21386350,DQ0G0913,331,52.42785847,53.92084872,71.05252913,42.50867397,,1554.131,28.28,52.65,0.69179,3,31,31
BFHB810,9/20/17 5:08 AM,322,21463350,H17031800055,330,52.07583154,58.81888265,68.17,44.1827474,,1542.143,32.98,54.35,0.45938,3,30,30
BFHC264,9/20/17 5:03 AM,322,21273350,DQ0H1573,329,52.41739146,57.53657225,68.16,44.18135932,,1539.768,23.86,51.18,0.5746,3,29,29
BFHC091,9/20/17 4:58 AM,322,21140350,H17031800036,328,52.08007034,63.28217959,62.43788901,53.2510646,,1530.327,24.56,50.9,0.58047,3,28,28
BFHB789,9/20/17 4:53 AM,322,21463350,48,327,52.24739146,61.70882409,65.43066712,48.35966653,,1542.14,39.59,54.12,0.65078,3,27,27
BFH5692,9/20/17 4:49 AM,322,21560350,DQ0H2133,326,52.25785847,55.63955434,68.5,43.33973354,,1558.166,30.16,51.52,0.53945,3,26,26
BFI0947,9/20/17 4:44 AM,322,21386350,H17031800109,325,51.56267616,61.10939341,64.50734554,48.53209134,,1554.13,34.14,54.29,0.53945,3,25,25
BFI0951,9/20/17 4:38 AM,322,21386350,H17031800005,324,52.96186406,59.67211162,53.07200783,48.02354839,,1554.122,32.44,55,0.70352,3,24,24
BFI1959,9/20/17 4:33 AM,322,21014350,H17031800027,323,52.08007034,60.80572208,66.6763546,48.36209134,,1531.908,29.39,51.37,0.34609,3,23,23
BFI1970,9/20/17 4:28 AM,322,21014350,H17031800154,322,52.24739146,60.82583867,66.42627577,47.52547166,,1531.908,23.88,50.67,0.4086,3,22,22
BFHA269,9/20/17 4:23 AM,322,21560350,47,321,52.25785847,60.95757491,65.38284268,47.0244911,,1558.978,34.85,51.48,0.3832,3,21,21
BFI1461,9/20/17 4:18 AM,322,21273350,H17031800184,316,52.08007034,62.52996305,58.60183487,56.35362561,,1539.776,32.77,54.09,0.58047,3,16,16
BFI0532,9/20/17 4:13 AM,322,21599350,37,315,52.08302569,59.73541262,67.67,44.68543675,,1531.899,28.35,45.27,0.4125,3,15,15
BFHC096,9/20/17 4:09 AM,322,21140350,DQ0H1226,314,51.55892478,59.18944514,68.10212938,45.68605413,,1530.331,35.15,53.7,0.59219,3,14,14
BFHC266,9/20/17 4:04 AM,322,21273350,H17031800057,313,51.90259433,62.98652833,62.25435174,53.42833126,,1539.773,37.14,55.01,0.63125,3,13,13
BFI1388,9/20/17 4:00 AM,322,20533450,DQ0H0620,312,52.08007034,53.59833126,64.6799599,43.85092271,,1536.607,37.52,53.47,0.41055,3,12,12
BFHC290,9/20/17 3:55 AM,322,21273350,DQ0H1161,311,51.72541743,59.01591158,68,46.51944268,,1539.772,30.54,51.88,0.56094,3,11,11
BFI1342,9/20/17 3:50 AM,322,21429350,18,310,,,,,,,,,21.94764,3,10,10
BFI1003,9/20/17 3:45 AM,322,21386350,DQ0H0583,309,51.73583154,59.01508354,68.33,43.84271804,,1554.132,33.49,54.63,0.51992,3,9,09
BFH8320,9/20/17 3:40 AM,322,21047350,H17031800052,308,52.42548578,54.27230325,66.65482598,46.34869471,,1558.979,31.96,50.69,0.64297,3,8,08
BFI1036,9/20/17 3:36 AM,322,21386350,H17031800048,307,52.25785847,56.84643146,66.25627577,47.85966653,,1554.132,23.9,52.39,0.52577,3,7,07
BFHB018,9/20/17 3:33 AM,322,21140350,7,306,,,,,,,,,0.51796,3,6,06
