Batch,Chip,Date,SN
12074530,YE139,2017-03-19 15:52:00,BFC5414
10975220,CP207,2017-03-21 05:11:00,BFC5365
10982220,FI211,2017-03-21 16:18:00,BFC5351
12864220,UH134,2017-03-20 22:31:00,BFC5348
12919220,JF112,2017-07-22 04:57:00,BFC5344
12931220,CH131,2017-03-20 22:50:00,BFC5339
10308220,CJ150,2017-03-21 16:22:00,BFC5326
8870220,EH212,2017-03-21 16:00:00,BFC5323
11266220,FD189,2017-03-21 05:24:00,BFC5285
9641220,NH051,2017-03-21 15:56:00,BFC5275
11264220,EC137,2017-03-21 16:03:00,BFC5272
5836220,DC116,2017-03-21 16:14:00,BFC5263
9332220,EB092,2017-03-21 16:09:00,BFC5250
12979220,UH165,2017-03-21 16:07:00,BFC5207
11541260,EL153,2017-03-21 05:36:00,BFC4763
12634270,CK123,2017-03-21 16:24:00,BFC4755
11278260,JH077,2017-03-21 16:20:00,BFC4750
11278260,KH070,2017-03-21 05:32:00,BFC4749
10332250,FJ118,2017-07-26 14:27:00,BFC4743
10332250,FJ116,2017-03-21 05:44:00,BFC4742
12247260,NE114,2017-03-20 21:28:00,BFC4733
12247260,NE095,2017-03-21 05:41:00,BFC4732
11541260,DJ185,2017-03-21 04:59:00,BFC4721
12361260,HH155,2017-07-12 17:33:00,BFC4701
12361260,FK089,2017-03-21 16:16:00,BFC4700
12361260,TH170,2017-03-21 05:43:00,BFC4699
12361260,EK082,2017-03-21 04:55:00,BFC4693
12361260,EK084,2017-03-21 05:01:00,BFC4692
12361260,MH179,2017-03-21 05:07:00,BFC4685
12361260,JK149,2017-03-21 05:02:00,BFC4684
12361260,XJ052,2017-03-21 05:31:00,BFC4680
12361260,XJ102,2017-03-21 05:04:00,BFC4678
12361260,JK143,2017-03-21 05:34:00,BFC4677
12361260,XJ084,2017-03-21 05:13:00,BFC4674
12361260,XJ109,2017-03-21 05:18:00,BFC4672
12361260,EK095,2017-03-20 22:12:00,BFC4670
12634260,SH132,2017-03-20 22:07:00,BFC4666
12632260,NH129,2017-03-20 22:10:00,BFC4661
12721260,SJ103,2017-03-21 05:20:00,BFC4656
12721260,TJ090,2017-03-21 04:57:00,BFC4654
12864220,LF153,2017-03-21 05:28:00,BFC4644
12864220,YH156,2017-03-20 21:47:00,BFC4640
8801220,CN234,2017-03-21 05:22:00,BFC4639
8800220,FK224,2017-03-19 13:39:00,BFC4619
12919220,YF141,2017-03-20 21:55:00,BFC4563
12921220,FJ147,2017-03-20 22:47:00,BFC4545
12921220,FJ141,2017-03-20 22:42:00,BFC4544
12921220,WH135,2017-03-20 22:00:00,BFC4537
12921220,LH137,2017-03-20 22:45:00,BFC4535
12921220,KF139,2017-03-20 22:40:00,BFC4533
12931220,NF147,2017-03-20 22:06:00,BFC4530
12931220,SJ129,2017-03-20 22:36:00,BFC4529
12931220,NF152,2017-03-20 22:52:00,BFC4527
12931220,YJ160,2017-03-20 22:33:00,BFC4524
12929220,CJ177,2017-03-20 22:30:00,BFC4516
12929220,XH168,2017-04-20 22:18:00,BFC4507
9034220,GA123,2017-03-20 22:28:00,BFC4505
12169220,CJ077,2017-03-20 23:42:00,BFC4500
12169220,KJ102,2017-03-20 22:49:00,BFC4499
12174220,JJ102,2017-08-01 09:18:00,BFC4498
12169220,CJ080,2017-03-21 05:39:00,BFC4497
9704260,JJ136,2017-03-20 22:24:00,BFC3589
12957260,JJ053,2017-03-21 05:52:00,BFC3537
12957260,EJ083,2017-03-21 05:46:00,BFC3478
11924170,FH077,2017-04-20 22:40:00,BFC3400
11924170,WF097,2017-03-20 21:35:00,BFC3397
11924170,NF080,2017-03-19 15:23:00,BFC3396
11924170,WF095,2017-03-19 15:26:00,BFC3393
11924170,WF066,2017-03-20 21:39:00,BFC3392
11924170,WF069,2017-03-19 15:17:00,BFC3377
12349320,JK097,2017-03-19 13:49:00,BFC2630
12231320,FH151,2017-03-19 14:57:00,BFC2602
12189380,YE152,2017-03-19 15:05:00,BFC2554
8706210,DP131,2017-03-20 22:16:00,BFC2436
8909210,CO178,2017-03-20 22:20:00,BFC2414
8462300,DP206,2017-03-21 05:50:00,BFC2164
11232210,FK183,2017-03-19 13:36:00,BFC1971
11373210,EF115,2017-03-21 05:09:00,BFC1969
12787350,LH141,2017-03-19 15:09:00,BFC1801
9298530,JH099,2017-03-19 15:42:00,BFB3621
11999510,FK163,2017-04-20 19:36:00,BFB3575
12852240,JH180,2017-03-19 13:45:00,BFB0435
12854240,EH177,2017-03-21 05:48:00,BFB0413
12345200,CH126,2017-03-19 10:15:00,CFBB117
12589200,FF081,2017-03-19 10:23:00,CFBA430
12698200,LJ185,2017-03-19 10:06:00,CFB8024
10889200,EG179,2017-03-19 09:57:00,CFB7954
10906200,DI209,2017-03-19 10:27:00,CFB6540
11092200,FG135,2017-03-19 10:09:00,CFB5740
11111520,CP119,2017-03-19 10:46:00,BFC5439
11111520,DA140,2017-03-19 09:15:00,BFC5438
8356530,DP117,2017-03-19 09:22:00,BFC5425
8356530,DP116,2017-03-19 10:42:00,BFC5424
11806530,WH066,2017-07-09 03:57:00,BFC5420
11110520,DF102,2017-03-19 09:09:00,BFC5416
12864220,UH097,2017-03-19 09:56:00,BFC5349
12919220,EF108,2017-03-19 10:20:00,BFC5345
12929220,TE159,2017-03-19 10:08:00,BFC5342
12912220,VE090,2017-03-19 10:18:00,BFC5336
12912220,FF106,2017-03-19 10:14:00,BFC5333
12247260,UF090,2017-03-19 09:39:00,BFC4725
12361260,TH180,2017-03-19 12:34:00,BFC4718
12361260,EK127,2017-03-19 13:29:00,BFC4713
12361260,EK132,2017-03-19 13:20:00,BFC4712
12361260,EK146,2017-07-18 16:20:00,BFC4710
12361260,EK154,2017-07-21 19:39:00,BFC4707
12361260,YJ089,2017-03-19 10:34:00,BFC4688
12721260,SJ101,2017-03-19 10:31:00,BFC4655
12721260,YJ101,2017-03-19 10:29:00,BFC4649
12634260,XH115,2017-03-19 09:31:00,BFC4647
12864220,YH152,2017-03-19 12:38:00,BFC4642
8765220,DH220,2017-03-19 09:49:00,BFC4634
6051220,DO094,2017-03-17 12:35:00,BFC4626
8800220,FM227,2017-03-19 09:46:00,BFC4620
8800220,FM213,2017-03-19 09:43:00,BFC4618
12931220,YJ139,2017-03-19 09:36:00,BFC4526
12929220,LH135,2017-08-02 16:37:00,BFC4517
9704260,CJ160,2017-03-19 12:59:00,BFC3591
9559250,FK164,2017-03-19 09:30:00,BFC3584
9580250,DK166,2017-03-19 13:06:00,BFC3579
10311250,FF183,2017-03-19 10:25:00,BFC3576
9559250,GE167,2017-03-19 12:28:00,BFC3573
9559250,GE160,2017-03-19 11:20:00,BFC3572
9559250,FK183,2017-03-19 09:33:00,BFC3569
9559250,FK175,2017-03-19 09:26:00,BFC3568
12957260,NJ067,2017-03-19 12:49:00,BFC3548
12957260,LJ075,2017-03-19 13:13:00,BFC3544
12957260,LJ082,2017-03-19 13:33:00,BFC3542
12957260,FJ075,2017-03-19 13:09:00,BFC3526
12932260,KH067,2017-03-19 12:46:00,BFC3523
12434260,SE100,2017-03-19 09:12:00,BFC3513
12957260,MJ071,2017-03-19 12:17:00,BFC3488
12957260,HJ070,2017-03-19 09:54:00,BFC3456
12932260,UF066,2017-08-09 20:54:00,BFC3437
12932260,HH083,2017-03-19 12:55:00,BFC3434
11924170,WF098,2017-03-17 11:00:00,BFC3398
11924170,SH067,2017-03-17 11:06:00,BFC3388
11924170,NF068,2017-03-17 11:19:00,BFC3385
12419260,YF182,2017-03-19 13:26:00,BFC2697
12419260,MJ069,2017-03-19 09:39:00,BFC2696
12419260,YF180,2017-03-19 13:16:00,BFC2689
12451260,UH090,2017-03-19 12:24:00,BFC2680
12451260,MH062,2017-03-19 13:02:00,BFC2679
12451260,LF153,2017-03-19 11:10:00,BFC2674
12451260,LF180,2017-03-19 09:29:00,BFC2673
12451260,UH094,2017-07-21 16:39:00,BFC2669
12451260,UH056,2017-07-18 17:00:00,BFC2660
12451260,LF154,2017-03-19 12:13:00,BFC2648
11612260,YH080,2017-03-19 10:36:00,BFC2640
10648380,FH191,2017-03-17 10:57:00,BFC2567
10314210,JH129,2017-03-19 10:21:00,BFC2532
7164210,GH129,2017-03-17 11:15:00,BFC2517
8869210,FE184,2017-03-17 10:54:00,BFC2485
10296210,WH152,2017-03-19 09:52:00,BFC2475
10296210,MJ151,2017-03-17 11:10:00,BFC2473
7246210,FN184,2017-03-19 11:08:00,BFC2428
10313210,FH148,2017-03-19 09:48:00,BFC2403
10313210,WF145,2017-05-15 10:23:00,BFC2402
10310210,VF139,2017-03-19 10:03:00,BFC2399
10310210,YF129,2017-03-17 10:48:00,BFC2397
10308210,EJ175,2017-03-17 12:48:00,BFC2392
8704210,DF104,2017-03-17 12:43:00,BFC2383
7245210,FE192,2017-03-19 10:00:00,BFC2378
10347210,DA185,2017-03-19 10:13:00,BFC2374
10308210,EJ139,2017-03-17 12:40:00,BFC2359
8462300,DP202,2017-03-19 09:15:00,BFC2167
12715280,WF108,2017-03-19 11:17:00,BFC2144
12814210,JH083,2017-03-19 09:24:00,BFC2019
11231210,CJ182,2017-03-17 12:45:00,BFC1983
10196250,EA211,2017-04-24 10:17:00,BFC1945
10057260,SH090,2017-03-19 10:18:00,BFC1926
10030260,SH105,2017-03-23 02:18:00,BFC1920
11537260,EP110,2017-03-19 09:33:00,BFC1898
12367260,HH134,2017-03-19 11:05:00,BFC1855
12705210,XE144,2017-03-19 09:03:00,BFC1118
5208220,DO205,2017-03-19 09:53:00,BFC0223
10348210,DG182,2017-03-17 11:12:00,BFC0191
7697210,DE105,2017-06-04 08:59:00,BFC0183
12871220,UH175,2017-03-19 10:00:00,BFB3725
8685290,GE193,2017-03-19 09:22:00,BFB2726
12059510,HJ070,2017-03-19 10:40:00,BFB1911
11361210,JH076,2017-03-17 10:52:00,BFB0320
8549210,FP124,2017-03-19 10:05:00,BFB0295
10313230,EH162,2017-03-17 05:46:00,CFBA466
8133470,EH185,2017-03-17 10:20:00,CFB8727
